D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
EC:1.4.1.4	70253.74	73209.46	68933.04	68214.48	86798.06	19395.79	75930.67	95328.95	84927.69	74456.48	87151.08	65059.44	116947.82	75290.01	100722.82	73246.62	78734.62	73741.5	121551.36	75791.62	90460.02	84952.41	76320.92	88153.64	48212.42
EC:1.4.1.9	668.2	543	4809.4	83	4234.2	1711.6	917.8	632.4	230.6	380.2	4589	414	5656.6	3113.2	1073	232.4	643	670	672.6	944.8	80	231.4	4132.4	668	935
EC:1.4.3.10	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.4.3.16	52087.17	55657.53	47870.39	47880.5	57193.46	14436.04	48732.56	64102.19	73659.14	45843.14	63471.82	39676.46	81192.91	45476.25	56176.51	49993.04	56201.01	52386.4	101817.33	57953.24	56286.38	48052.25	47856.19	67595.82	33127.1
EC:1.4.3.19	666	543	4798	80	4225	1709	931	656	230	375	4587	414	5641	3048	1018	207	643	670	671	943	80	229	4136.4	668	942.8
EC:1.4.3.21	81.5	199.74	44.57	0	118.83	0	575	2022.33	0	0	59.5	0	98.5	518.93	796.76	103.17	886.17	1213.91	1588.41	95.5	0	125.67	32.5	157.93	17.5
EC:1.4.3.4	108.83	86.67	107.81	69.31	328	85	250	132.6	55	223.83	753	83	87	138.5	85	60.17	110.67	257	596.5	97	68.33	207.33	4130	69.33	72.83
EC:1.4.3.5	17610.21	21437.6	10494.5	9702.35	23174.16	6035.84	12892.53	26479.09	5226.44	20710	14024.07	21664.57	32110.84	23263.61	33083.39	24149.76	16949.78	17117.32	26472.86	30948	22523.36	27588.42	22156.79	13014.46	13523.1
EC:1.4.4.2	28623.7	30665.97	28017	15821.49	53773.22	13129.04	26621.21	39889.27	14648.48	31907	32212.37	29024.97	77482.85	39561.86	46196.51	36214.21	30037.1	28104.2	52851.95	38632.42	29105.26	40022.58	48405.59	25393.39	21577.44
EC:1.4.7.1	26376.83	26038.67	25307.34	31150.07	24006.5	6014	15493.83	25327.6	54447.5	15162.83	8113.83	13874	33589.1	16168	14299.43	18075.37	30761.17	29677	64738.17	19128	9764.93	5732.83	11081.12	44605.63	12550.53
EC:1.5.1.2	72352.88	72131	70768.27	65005.72	79468.56	20985.68	76610.49	80567.7	83774.43	61598.67	108695.69	50237.02	102975.96	70773.37	89164.21	66167.85	75148.55	72224.33	121567.32	76737.54	82168.74	67165.16	71910.32	87729.54	47111.93
EC:1.5.1.20	58252.76	59728.28	56813.88	56387.17	59650.63	15543.04	59534.49	62150.61	68969.55	57860.51	69280.88	45970.17	79983.72	48154.96	59208.42	50689.62	61951.71	48294.28	70005.33	67307.04	42108.39	49781.63	47518.85	69904.97	38242.71
EC:1.5.1.24	122	273	70	60.83	222	21	72	116	9.33	0	75	0	1183	191.33	119.83	223	2642	2428	7736	136	109	2	0	183.17	68
EC:1.5.1.28	1404.7	1375.25	5162.9	305.25	4988.45	2001.6	1728.8	2431.65	426.85	388.2	5971.25	567	6414.6	4164.7	2306.25	1435.4	1293.25	1224	7896.6	1420.05	277	3871.9	2523.55	1351.25	1503.25
EC:1.5.1.3	72119.18	76828.32	62842.37	61627.84	72141.69	23121.73	71323.18	92727.59	66343.82	65742.55	83058.67	55420.12	101804.91	93784.89	125090.79	84144.8	82905.7	78737.97	131018.34	98369.97	76883.57	70407.56	67283.63	73112.14	47196.23
EC:1.5.1.34	13010.17	15957.8	2380.61	3529.33	8460.42	4730	7392.42	13816.95	2948	10924.99	4320.33	7004.34	17979.5	15771.55	21787.38	17265.25	13533.75	12413.13	18178.29	27878.99	15649.33	16575.66	13883.25	8736.55	9926.84
EC:1.5.1.36	58.5	139.12	29.95	0	85.08	107.67	324.75	1136.58	33.67	233.33	44	0	72.5	312.55	628.38	435.92	519.42	699.79	941.29	72	0	79.67	16.25	122.55	17.5
EC:1.5.1.38	16959.4	20770.13	14458.67	8233.64	16585.13	8318.95	13819.49	20219.54	24147.14	15806.16	8939.23	13344.45	34162.3	22540.7	25512.65	23521.62	19819.47	15546.79	24979.34	34305.18	37122.36	8279.78	7667.08	16178.48	12577.43
EC:1.5.1.39	3279.76	2135.44	6298.04	3865.29	6396	1152.9	4896.1	5287.75	8674.45	2741.11	1625.75	5472.75	13972.65	2621.85	2842.75	2900.54	5729.99	3213.2	5277.95	4630.25	21134.16	2237.21	4141.7	3323.51	2084.66
EC:1.5.1.41	11072.17	15484.46	1908.95	2741.67	4900.08	4552	6681.09	13299.29	2688.34	10103.33	2692.33	6533	12496.5	15285.55	21104.05	16999.25	11715.75	10935.79	16983.29	27633.33	14929.33	5556	3018.58	8451.55	7352.5
EC:1.5.1.5	67366.71	67812.86	66138.57	62444.67	76035.06	20104.33	66658.14	77846.7	82024.33	60139.17	82727.84	49128.12	99469.76	69793.79	86800.48	65657.03	73744.7	70200.18	120543.32	72682.19	62350.99	64110.21	64775.7	84105.59	43976.73
EC:1.5.1.6	136.5	104.5	11.25	21.75	58.75	11.75	0	17.5	16.25	191.25	12.25	72.5	131.25	13	15.75	0	0	15.75	0	29	59	0	0	41.25	53.5
EC:1.5.1.7	24514.39	24245.98	22938.17	31741.16	35199.59	5621.22	19337.39	29812.66	43491.27	26452.2	19799.37	23155.79	41221.52	19685.09	22113.55	21702.43	23845.27	19346.96	38191.48	15178.14	16880.16	34480.73	30341.56	27641.27	15772.34
EC:1.5.3.1	340.2	210	209.4	440	1398.2	143.6	745.8	191.4	297.6	786.2	2026	497	3901.6	678.2	789	877.4	274	261	658.6	265.8	451	757.4	12503.4	468	525
EC:1.5.3.19	75	90	29	0	19	0	11	20	0	0	16	44	12	18	12	0	15	15	19	14	83	0	0	12	123
EC:1.5.5.1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.5.5.2	12404.74	16534.84	5367.85	4861.71	10134.04	5336.43	9634.85	18816.05	4450.03	14946.66	3433.33	10829.67	18188.29	19618.12	25762.09	22551.39	14957.18	12271.89	19787.58	29239.8	17897.33	6755.47	3972.39	9745.2	8802.31
EC:1.5.98.1	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.5.98.2	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.5.99.15	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.5.99.6	0	0	0	64	0	135	544	1241	131	106	0	110	0	495	564	1579	0	0	0	32	0	152	103	96	51
EC:1.6.1.1	11072.17	15484.46	1908.95	2741.67	4900.08	4552	6681.09	13299.29	2688.34	10103.33	2692.33	6533	12496.5	15285.55	21104.05	16999.25	11715.75	10935.79	16983.29	27633.33	14929.33	5556	3018.58	8451.55	7352.5
EC:1.6.1.2	48138.83	53492.91	46730.16	40242.34	22855.67	12387.27	67949.92	40707.57	11876.93	41637.4	125116.91	18405.24	31192.73	38678.36	61559.84	37848.5	41368.98	46938.58	39419.59	94666.65	37772.16	25676.98	27808.92	39355.09	34154.99
EC:1.6.3.3	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.6.3.4	1052	1624.33	218.33	1327.67	128.33	662.17	1236.67	1044	312.33	363	979.5	169.33	137.33	95	161.33	197.67	206.33	493.67	157	247.33	164.33	154.33	345.67	204	1370.33
EC:1.6.5.2	26275.26	33964.05	5131.6	7827.8	12622.13	10553.37	17132.04	32458.44	6801.41	24652.52	16698.76	17515.8	28536.23	46150.24	64804.3	44541.57	29450.44	26952.51	39968.25	57179.29	33865.06	15971.03	22396.66	22074.93	16466.03
EC:1.6.5.3	267100.65	295519.72	191027.02	187207.18	329396.4	85474.53	229396.01	372296.12	238971.12	293709.87	141011.67	280339.12	447287.13	301655.17	377280.6	323352.78	263912.59	226676.2	382201.43	370856.01	296091.74	226342.9	241598.88	290339.39	182476.22
EC:1.6.5.5	11445.17	15965.46	2114.95	2968.67	5369.08	4649	7228.09	13538.29	2846.34	10551.33	4069.33	6709	12788.5	15891.55	21822.05	17947.25	14519.75	13471.79	24931.29	27889.33	15124.33	6014	11326.58	8777.55	7610.3
EC:1.6.99.1	107	50	124	525	814	164	457	442	175	577	1257	389	2774	90	443	272	59	78	134	582	18830	1110	8447	930	569
EC:1.6.99.3	21048.91	25674.25	21557.24	14287.93	33685.19	12569.34	29743.85	44200.07	8049.62	27269.07	30162.17	27917.15	45363.54	46763.05	60955.42	37457.31	25472.68	25786.32	41310.78	35320.42	25595.66	40109.94	44061.92	25549.18	17168.88
EC:1.7.1.13	30100.5	29824.99	24570.82	25238.31	37110.89	9537.75	27806.34	38896.3	16277.43	31422.23	27708.38	29396.42	50351.16	33144.44	42582.12	31917.21	30492.53	27230.02	37039.77	38435.35	28564.96	49897.1	47696.92	20627.61	22536.09
EC:1.7.1.15	23534.84	32181.04	13476.85	5716.34	18591.24	12522	15725.93	29068.87	5850.68	21137.66	15212.66	13963	36527.5	37000.65	44897.48	34474.42	25236.92	23980.37	36736.87	57239.66	30072.66	11849.67	18954.21	18380.65	16692.1
EC:1.7.1.6	0	0	0	49	0	0	202	0	0	181	610	62	11	0	20	0	0	0	0	15	54	198	4130	0	48
EC:1.7.1.7	14854.23	18835.95	7837.25	5978.97	12293.38	8503.53	13255.66	20097.62	4137.8	15209.83	14687.31	11717.87	22070.72	33940.95	44323.65	27812.53	17763.55	16840.79	29497.42	30432.93	17499.53	19159.37	20586.74	14085.82	11459.27
EC:1.7.2.1	54	0	3	8	4	0	15	57	181	7	0	0	5	66	0	99	21	13	63	33	35	8	5	209.5	4
EC:1.7.2.2	6280.64	6503.37	6006.32	6149.85	14522.61	1785.61	7354.21	13394.78	3071.54	15265.37	23482.74	15588.2	22690.44	8634.36	17290.61	8354.91	9152.73	10185.36	11134.77	3339.64	7768.23	50004.19	40230.74	5038.71	6527.03
EC:1.7.2.3	27462.34	31864.3	4678.62	7139.34	14251.75	9342	14064.93	25030.46	5805.68	21706.66	8582.16	13976	28282	30521.38	41903.72	32732.91	26390.41	24049.12	35113.12	55610.16	31429.66	33026.66	27767.91	17192.38	21392
EC:1.7.2.5	0	0	3	8	4	0	0	0	39	7	0	0	5	0	0	18	21	13	24	0	8	8	5	13	22
EC:1.7.7.1	7219.45	9190.88	6459.3	4520.73	10645	2608.69	5843.52	12316.37	16362.92	5690.66	3575.89	3176.42	10454.54	6185.83	7742.18	9260.31	11086.21	19487.16	46333.31	6893.11	22045.33	2404.85	5714.78	10702.88	5125.01
EC:1.7.99.1	50026.61	49775.22	38910.18	43870.57	64627.75	14453.28	34733.25	51523.56	65378.82	43595.34	29383.93	35129.67	72850.84	45434.19	51220.54	47783.04	48060.35	37358.74	71696.05	52150.1	55617.1	45764.46	41835.27	72153.33	29896.94
EC:1.7.99.4	83734.81	112723.18	31225.22	22959.96	53193.56	39313.19	52512.9	98478.55	21578.8	75203.89	39383.62	49075.42	112291.19	120844.43	156106.43	124911.44	87655.29	82298.19	128729.34	198137.42	108698.46	83818.27	76992.34	68898.85	59483.23
EC:1.8.1.14	666	543	4798	31	4225	1709	714	629	222	194	3977	352	5630	3048	998	207	643	670	671	928	26	31	6.4	668	886
EC:1.8.1.15	0	0	0	0	0	0	15	27	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
EC:1.8.1.2	23506.34	32072.26	13448.56	5570	19551.5	12530	14798.84	27875.24	5909.34	20627.32	13350.66	13779.34	40136	36789.1	44260.76	34584.5	24769.5	23250.92	35382.58	57131.32	29926.66	11192.66	6065.3	18279.1	16532.34
EC:1.8.1.4	54510.71	53285.2	62706.57	42960.81	85026.07	19827.83	57681.93	68702.76	29280.94	57500.21	95613.35	51766.77	105100.2	71657.45	92473.09	58572.6	59121.22	56625.09	83186.14	62409.7	42990.44	89291.43	87455.74	49685.49	38602.97
EC:1.8.1.7	16654.5	20734.92	8176.95	6382.6	12304.68	8812.23	14759.36	24359.72	4900.53	16080.53	15277.16	14993.67	21311.37	48429.08	65384.85	37952.18	21445.15	19733.39	32878.42	31608.73	18288.93	10320.07	6853.84	14785.49	10157.37
EC:1.8.1.8	32183.07	39658.37	14736.73	14569.59	33037.42	11438.39	28498.23	48613.31	10350.45	38171.03	23563.2	32734.12	52485.25	42262.19	60140.72	45099.4	35227.77	32424.37	47609.72	60633.63	41393.89	57358.23	47723.86	23548.07	25238.04
EC:1.8.1.9	126102.63	119676.24	118640.43	104911.83	131339.76	36025.05	111313.05	115972.8	167530.06	90583.65	176037.52	68677.99	159096.3	115734.02	134225.3	108155.02	111860.98	106371.77	191530.94	104637.27	118344.01	93796.1	107186.26	164106.08	76727.61
EC:1.8.2.2	6	4	4	6	0	5	8	4	6	5	0	4	0	0	0	11	9	0	0	0	0	0	0	0	5
EC:1.8.2.3	1596	175	20	162	28	33	146	50	62	0	38	96	142	60	14	0	15	135	44	22	131	108	126	47	1683
EC:1.8.3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.8.4.11	43811.64	49917.27	44688.1	25527.32	65039.56	20676.46	52206.76	72119.83	30050.39	47461.12	83358.24	46958.49	83079.98	91513.89	119492.32	72376.93	53056	59122.68	104658.46	50538.09	74438.59	56462.23	58215.46	45948.31	32556.55
EC:1.8.4.12	38685.74	44496.27	32414.8	21964.19	52166.26	14031.76	44640.36	60280.33	18053.26	40333.12	72197.84	37518.29	67744.18	54071.66	74150.55	48440.73	43018.7	50593.68	85301.16	44577.99	70115.89	51776.03	51381.56	35658.54	27672.95
EC:1.8.4.8	16346.49	21380.43	9835.56	6180.03	15644.67	8192.47	10646.57	16460.27	20052.25	15528.31	9089.38	8817.47	28336.97	23024.54	25383.95	24584.4	16258.64	14254.96	23878.84	31208.54	17354.53	7098.65	8537.65	15428.38	12290.62
EC:1.8.5.2	878.2	881	1254.8	1381.8	3312.4	371	2946.4	3319	913	4504	13879	1550	7632	1783.2	5165.6	947	3453	4460	3824	708	1522	30135.2	34102.4	1445	1983.8
EC:1.8.5.3	18151.17	16998.96	2804.95	4854.67	7606.58	5137.5	9396.59	15982.29	3850.84	12158.83	7464.33	8012.5	17834.5	17356.55	24262.55	20083.75	12934.25	12385.79	18775.29	28307.83	16813.33	38628.5	35603.58	9408.55	15727.5
EC:1.8.7.1	0	0	3	0	108	0	15	27	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0
EC:1.8.98.1	11845	10341.4	14029.99	14055.99	11132.51	2554	2841.99	7596.5	37227.49	6193	4996	2270	7454.5	6517.01	5714	9232.5	6755.51	6277.99	7836.49	5919.49	21964.5	3638	2943.5	24281.99	4449.2
EC:1.8.99.2	10431.66	10048.34	11422.34	12615.34	5535	2799	5269	6128.2	34728	5826.66	4465	1900	4360	7521	6848	11132.34	6564.34	4978	7250	8807	2492.66	2210.66	2065	22837.66	4183.66
EC:1.8.99.3	364	264	258	270	694	188	142	172	300	146	168	112	312	892	1104	1546	402	362	954	232	158	128	86	266	316
EC:1.8.99.5	364	264	258	270	694	188	142	172	300	146	168	112	312	892	1104	1546	402	362	954	232	158	128	86	266	316
EC:1.9.3.1	0	0	27	294	23	0	1257	81	51	1086	3660	562	66	0	120	0	0	0	0	90	324	1188	24780	9	288
EC:1.97.1.4	247317.78	261068.1	231909.9	205473.31	275201.1	73880.22	210241.63	284879.35	355892.05	218563.06	215671.14	172974.93	354169	236626.88	286710.56	245290.48	279185.54	265067.77	498413.81	277210.29	315249.94	198342.24	187548.28	330306.21	155646.65
EC:1.97.1.9	43235.04	52504.55	12541.59	25281.58	24527.61	15243.6	22129.57	41014.73	26800.62	33588.02	10449.49	21110	53603.2	50181.18	65854.75	53963.85	41884.25	36686.7	60169.3	86083.29	47884.92	18147.06	10825.34	37032.61	28312.53
EC:2.1.1.10	5231.43	3552.25	9459.15	2531.8	7680.55	2977.53	8247.61	6748.49	3759.07	1809.53	6977.35	1373.13	13413.99	6099.35	4174.58	4572.9	7456.35	5791.06	8749.46	4958.13	19975.4	2097.87	5409.98	11543.22	3407.03
EC:2.1.1.104	13	9	2	10	11	14	20	9	9	6	2	14	616	307	198	584	3	6	19	6	9	11	211	10	15
EC:2.1.1.107	50996.49	59548.68	39715.55	28143.32	50479.03	19852.12	32747.24	55455.91	55965.45	34995.01	23589.8	22979.92	70968.48	55925.68	61890.24	57663.63	52196.05	54209.04	106618.45	79081.48	78461.32	18619.08	19427.64	61656.28	30986.69
EC:2.1.1.113	34	52	31	111	153	73	66	110	63	342	548	98	571	112	175	188	86	100	433	71	260	508	540	252	162
EC:2.1.1.13	71108.35	72859.24	63673.25	66165.07	69935.42	18635.58	48430.83	76455.54	123723.95	56846.36	35420.51	50256.54	100186.29	57621.3	63813.43	64241.29	68738.81	62076.91	119907.25	68027.33	98923.39	54630.08	53308.56	98466.32	40701.7
EC:2.1.1.130	26963.35	25064.08	24480.55	30160.32	28687.92	6081.71	13417.22	23984.21	41381.2	19531.73	19209.43	12514.75	37676.43	19899.62	19183.72	21676.56	25411.03	17247.26	39556.48	15254.6	11677.01	32278.42	24991.29	30669.56	14407.16
EC:2.1.1.131	24906.82	21152.8	22072.03	29727.48	28964.95	5791.12	10029.98	14683.46	45152.44	11764.19	7432.14	7330.75	30912.48	15259.7	10615.43	17702.21	21601.63	14568.17	37672.92	14452.99	8024.83	4547.92	3742.26	34945.97	11241.59
EC:2.1.1.132	31510.46	29777.55	25506.31	44560.11	36765.92	7335.99	14414.79	23369.15	57718.41	20848.92	19916.12	11879.7	51338.8	22536.57	20013.24	23597.77	32405.62	20204.09	51628.86	17769.56	12861.76	29492.68	22194.48	35557.72	16403.2
EC:2.1.1.133	24652.82	20934.8	21874.03	29505.48	28502.95	5571.12	9903.98	14524.46	44897.44	11688.19	7241.14	7226.75	30683.48	14546.7	9717.43	16446.21	21117.63	14041.17	36538.92	14232.99	7866.83	4429.92	3656.26	34733.97	10942.59
EC:2.1.1.14	28908.49	30325.48	27501.52	18997.6	19266.26	10043.07	36026.94	29416.48	12926.78	25651.61	52155.41	15589	28378.78	39954.02	54626.19	33431.35	29905.9	28402.97	31786.42	49733.31	24912.43	14662.82	18315.24	25542.92	20328
EC:2.1.1.144	12493.33	16990.71	3517.79	4844.58	7879.67	5064.34	8350.75	14083.49	6325.93	10829.99	16066.58	7014	13457.16	16819.39	22705.3	19150.91	12725.66	11908.45	18242.63	28633.58	15618.67	9044.16	8222.33	10106.46	8375.75
EC:2.1.1.148	8199.52	8434.59	7416.06	4799.61	10889.45	2859.89	5467.52	3913.22	22311.27	6846.43	3167.61	4361.72	8398.14	7276.4	4890.53	9920.9	5934.39	4425.96	12713.85	4157.96	2725.1	1614.12	2569.56	22480.5	5426.13
EC:2.1.1.151	26963.35	25064.08	24480.55	30160.32	28687.92	6081.71	13417.22	23984.21	41371.2	19531.73	19209.43	12514.75	37676.43	19899.62	19183.72	21676.56	25411.03	17247.26	39556.48	15254.6	11677.01	32278.42	24991.29	30666.56	14407.16
EC:2.1.1.152	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
EC:2.1.1.163	25964.02	29124.96	20959.35	14358.17	39416.22	10370.01	26934.18	40573.07	13547.86	33004.45	39131.12	28729.07	51689.72	34548.97	46476.57	31676.35	31224.02	28710.12	45645.12	36103.97	28282.71	69122.55	60422.83	25916.86	21452.29
EC:2.1.1.166	13057.17	15966.46	2528.95	3595.67	7143.08	4773	7386.09	13820.29	3106.34	10891.33	4355.33	7010	14235.5	16019.55	22174.05	17918.25	12915.75	11988.79	18170.29	27932.33	15635.33	16576	13855.58	8813.55	9813.5
EC:2.1.1.170	65678.71	67115.19	64516.24	50685.34	70514.39	19693.33	65913.81	77373.87	76507	59209.84	82117.84	48650.45	91770.76	68608.79	85810.15	64232.03	72524.2	69409.51	119354.32	71737.86	61481.99	63593.88	64421.03	83186.59	43230.06
EC:2.1.1.171	35334.33	39772.62	31312.37	25972.9	20225.42	9008.42	35217.67	36400.88	30398.08	25839.24	47723.74	16576.92	28891.18	26844.97	36926.89	29541.78	38364.91	43692.46	67094.29	52847.49	40880.43	14552.16	16812.53	35797.35	21775.87
EC:2.1.1.172	17801.83	24555.75	4403.45	6434.77	9359.18	6964.73	14353.86	30577.72	7127.2	17449.03	12157.16	13981.67	20892.37	33415.75	48816.85	31389.68	25448.15	33419.39	61188.42	31448.73	37517.93	10040.57	10576.09	15937.82	11107.67
EC:2.1.1.173	13327.17	16906.96	7728.95	5759.67	8038.58	5114	11717.09	17731.79	10390.34	11469.33	3692.33	11352.5	15966.5	17003.55	22883.55	18501.25	16813.75	12586.79	19182.29	31222.83	15791.33	6661.5	6667.08	9587.55	8358
EC:2.1.1.174	11072.17	15484.46	1908.95	2741.67	4900.08	4552	6681.09	13299.29	2688.34	10103.33	2692.33	6533	12496.5	15285.55	21104.05	16999.25	11715.75	10935.79	16983.29	27633.33	14929.33	5556	3018.58	8451.55	7352.5
EC:2.1.1.176	52359.15	52485.55	41755.98	43195.08	51936.97	16973.85	34667.17	52042.47	75378.47	36343.55	28840.55	28532.59	72104.6	56408.95	64006.61	54361.13	58186.44	53277.39	107257.84	54607.55	49459.26	38452.65	41129.75	70226.62	31607.43
EC:2.1.1.177	65629.71	67155.86	61644.07	59871.17	72085.56	19695.83	63582.64	73884.7	75538.83	59148.67	81968.84	44347.12	91677.76	67424.29	84231.98	64552.03	70341.7	68906.68	118456.32	71652.19	61409.99	62896.21	61249.2	83008.09	43113.73
EC:2.1.1.178	11254.17	15616.46	2037.95	2876.67	5280.08	4646	6752.09	13437.29	2838.34	10176.33	2776.33	6589	12652.5	15731.55	21656.05	17772.25	11916.75	11161.79	17670.29	27749.33	15008.33	5620	3061.58	8584.55	7510.5
EC:2.1.1.181	12898.27	16728.76	5441.6	6569.42	15925.03	5041.15	8526.29	17139.79	3383.64	16193.58	5207.78	18798.7	26631.15	17609.15	26718.6	19177.45	14137.55	15257.94	23325.49	29136.33	20644.13	12014	11394.18	11167.4	9571.6
EC:2.1.1.182	66856.71	67296.86	65172.57	61922.67	75192.06	19816.33	65389.14	77223.2	81170.33	59532.17	82381.84	48899.12	94374.76	69126.79	86089.48	64507.03	72685.2	69816.18	119708.32	70582.19	61923.99	63779.21	64502.7	83229.59	43463.73
EC:2.1.1.184	4094.89	5144.82	5452.82	3296.5	7269.11	2361.54	12674.71	17710.82	5577.07	5821.29	2886.79	7414.25	5316.54	19436.86	25718.53	14971.21	5494.18	2568.71	6376.82	4430.39	4369.93	4107.04	2806.89	3485.86	2785.18
EC:2.1.1.185	68770.71	71648.06	66502.77	62803.47	76480.26	20532.33	66506.74	86654.2	81736.93	60324.97	83092.04	50124.32	98726.76	71713.79	91582.28	68239.03	78630.6	85104.38	151602.32	73119.19	81272.79	64921.41	64987.1	85013.59	45035.33
EC:2.1.1.186	11248.17	15612.46	2036.95	2878.67	5251.08	4641	6744.09	13381.29	2871.34	10178.33	2776.33	6585	12657.5	15731.55	21656.05	17779.25	11928.75	11129.79	17484.29	27749.33	15016.33	5628	3066.58	8597.55	7509.5
EC:2.1.1.187	24512	31433.75	12508.28	12092.77	17369.51	9428.4	19300.03	37234.32	28400.86	22604.53	9754.41	20204	30052.95	38185.08	51699.84	37637.43	33138.98	36589.06	70921.26	36958.56	40112.26	11749.4	11044.26	24429.49	16224.2
EC:2.1.1.189	11090.17	15484.46	1911.95	2749.67	4904.08	4552	6681.09	13309.29	2777.34	10110.33	2692.33	6533	12501.5	15307.55	21104.05	17044.25	11736.75	10948.79	17020.29	27644.33	14946.33	5564	3023.58	8532.05	7356.5
EC:2.1.1.190	87086.21	91186.2	74558.66	73121.84	90307.89	25586.74	60397.56	106514.37	140650.08	69472.42	50415.75	56607.54	121476.35	84010.37	98333.9	86213.7	97093.21	105676.18	211082.15	77739.36	106695.32	66012.38	61839.53	126919.59	53853.23
EC:2.1.1.191	72269.68	74544.88	58260.25	60525.5	83213.03	21481.14	45876.42	76170.73	112465.64	63465.38	41245.17	48164.88	114792	74516	84197.22	75217.55	73647.21	69172.52	142492.22	64465.22	101014.32	61901.64	55481.89	102787.09	45019.57
EC:2.1.1.192	71087.98	70282.13	68412.77	63456.87	80865.26	19991.23	66758.94	80999.6	90335.73	62587.97	81237.59	50190.32	102984.01	71506.19	88849.08	67871.58	80168	73242.18	128422.12	75874.39	64553.39	86309.81	86307.7	94973.59	47656.33
EC:2.1.1.193	64627.71	66381.86	58611.07	58369.17	68850.89	19266.5	58769.98	71990.7	73709.16	58185.34	77091.84	44075.79	88965.92	67464.29	84496.98	63194.7	68285.37	68152.01	116908.65	68385.86	60840.99	62524.21	60334.87	81269.92	42572.4
EC:2.1.1.195	29919.95	27199.18	26886.5	33347.12	35661.87	7088.61	15184.27	25141.61	48115.85	21053.28	22054.43	13375.45	38365.58	22367.77	20563.47	23565.91	27298.58	18650.26	42337.11	16924.55	12304.56	36420.77	29386.34	37453.76	15700.56
EC:2.1.1.196	2051.49	923.63	4098.19	1690.41	6090.45	778.62	2438.48	3340.46	1350.44	865.36	1219.31	648.75	802.38	1840.2	1816.83	2485.34	1372.96	1226.17	2810.25	1625.99	1108.4	463.09	378.06	3947.84	663.56
EC:2.1.1.197	18773.9	23301.64	11884.32	10697.06	24559.7	6596.39	20911.08	34347.19	6642.55	27155.17	18668.07	25687.65	35986.25	26020.97	37758.14	26975.65	21391.25	19946.78	29101.6	32387.14	25414.86	37301.1	34198.51	14204.19	15188.07
EC:2.1.1.198	76919.44	76139.04	76498.94	71013.06	96232.18	22192.72	81488.13	99428.6	86470.04	77603.01	99554.58	68630.77	119963.01	80529.21	103650.57	75214.93	85048.2	80192.17	132754.13	77737.5	73461.02	106432.31	102531.13	89922.23	53976.3
EC:2.1.1.199	87494.54	85961.53	83701.24	89012.84	93042.56	24153.33	75761.14	88685.7	123144.33	70683	88054.84	54787.12	118223.76	79595.29	93057.48	76101.2	92467.87	81036.18	147059.32	86897.19	69073.32	67400.54	67505.45	109116.92	52678.56
EC:2.1.1.200	11072.17	15484.46	1911.95	2749.67	4904.08	4552	6681.09	13299.29	2727.34	10110.33	2692.33	6533	12501.5	15285.55	21104.05	17017.25	11736.75	10948.79	17007.29	27633.33	14937.33	5564	3023.58	8464.55	7356.5
EC:2.1.1.201	25964.02	29124.96	20959.35	14358.17	39416.22	10370.01	26934.18	40573.07	13547.86	33004.45	39131.12	28729.07	51689.72	34548.97	46476.57	31676.35	31224.02	28710.12	45645.12	36103.97	28282.71	69122.55	60422.83	25916.86	21452.29
EC:2.1.1.206	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:2.1.1.207	59132.98	59549.88	55596.4	54019.08	54451.14	17845.94	51805.75	56083.8	77219.22	42692.13	67128.3	29821.67	70416.51	58516.37	69647.19	54901.13	63017.6	60523.39	107665.51	67496.88	51348.76	32247.31	37524.67	77314.95	35632.76
EC:2.1.1.213	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:2.1.1.215	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:2.1.1.216	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
