D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
EC:1.1.1.215	11072.17	15484.46	1908.95	2790.67	4900.08	4552	6883.09	13299.29	2688.34	10284.33	3302.33	6595	12507.5	15285.55	21124.05	16999.25	11715.75	10935.79	16983.29	27648.33	14983.33	5754	7148.58	8451.55	7400.5
EC:1.1.1.219	1028.5	1144	655.5	640.83	1117.5	461	930	720	3453.83	615.5	379	375	2076	1102.83	703.83	1457.5	580	393	792	477.5	619	438	451	1720.17	778.5
EC:1.1.1.22	58358.3	59340.49	60593.57	50906.79	79715.21	14852.03	65084.73	79928.63	55517.18	78516.01	96794.24	66765.02	105811.1	53991.41	81798.77	53743.88	60427.42	60664.61	83051.88	63862.75	54446.35	123703.06	118798.61	61388.57	44815.21
EC:1.1.1.23	63483.36	64136.66	57130.45	59582.18	64422.09	16272.28	59506.39	68634.2	79734.11	55632.51	71946.55	43995.5	87558.01	49706.22	62423.96	52878.9	67121.53	64059.35	104998.21	68593.65	59727.89	61100.32	61246.7	80659.07	41621.45
EC:1.1.1.25	88665.38	87144.27	85494.13	91344.97	91062.88	23338.83	70718.64	91748.91	138534.83	70122.17	83279.84	53016.12	118419.96	81108.23	94308.94	78924.61	87793.38	82313.1	147828.24	83319.69	85861.19	67625.89	66245.1	129742.13	50737.63
EC:1.1.1.251	11049.17	15423.84	1894.33	2741.67	4866.33	4552	6430.84	12413.54	2688.34	10103.33	2676.83	6562	12470.5	15079.17	20582.67	16958	11349	10421.67	16336.17	27609.83	14929.33	5510	3002.33	8416.17	7335
EC:1.1.1.26	249	67	91	226	1353	52	100	106	213	208	110	69	3173	212	122	90	188	109	852	131	157	102	68	313	194
EC:1.1.1.261	13207.4	11028.6	14447.8	13543.8	11446.5	3185.8	6147	7834.1	26413.3	7086.6	4047	3474.2	15427.8	6513.2	6056	8752.7	7423.3	5653	7514.7	13423.9	78045.3	4835.2	2639.9	23741.2	7428.4
EC:1.1.1.262	23665.63	26411.52	15462.49	13399.76	32895.9	8022.59	25031.41	39947.65	12474.98	29332.93	19300.37	26923.12	49016.45	30727.8	41713.43	33136.29	27923.69	27065.16	48560.21	34424.07	27626.89	38690.03	31339.58	19252.45	19326.47
EC:1.1.1.264	176	128	125	193	347	331.67	607	1323	308.67	407.33	84	162	156	941	1116	2715	192	181	477	142	79	211	146	229	204
EC:1.1.1.267	62121.05	63054.74	60235.07	59565.57	68888.96	16132.6	60539.37	71000.27	80218.47	55624.47	70474.26	44219.45	85537.64	50602.42	63154.51	53488.02	65463.8	62545.58	107530.19	69776.79	60031.39	60895.64	60902.71	77898.32	41120.36
EC:1.1.1.27	62083.27	58724.72	68337.39	62849.74	61397.96	21252.91	71776.62	67322.55	87907.81	42992.96	117635.22	36646.66	72532.46	66390.98	81122.03	54004.37	70319.08	77736.87	145914.26	50931.98	60462.96	36785.64	55930.39	90314.31	34919.98
EC:1.1.1.271	14805.62	14828.86	18921.96	15296.6	27755.86	4002.36	19308.84	31858.12	19488.39	26696.95	25368.12	25011.12	32676.91	17492.64	26192.63	17680.62	16829.48	14836.93	17242.56	8350.7	14681.73	49283.69	38931.34	15204.96	11747.53
EC:1.1.1.28	48192.41	54299.05	37295.22	29465.73	55859.1	21393.53	34733.37	57781.88	37107.34	46166.31	39754.46	40512.99	77444.49	70511.25	87937.87	63792.34	44302.29	40735.65	62270.65	71898.26	67314.94	48104.75	37114.14	53796.04	32278.67
EC:1.1.1.281	1222	1262	722	734	2011	470	989	693	3703	738	510	437	3837	1259	748	1592	724	632	1315	629	596	428	496	2181	949
EC:1.1.1.282	11140.67	15467.34	2043	2878.67	5691	4599	6435.34	12212	2731.34	10210.33	2706.33	6574	12484	15088	20628.67	17007.33	12031.33	10841	16529	27622.33	15034.33	5564.33	3075.33	8387	7581
EC:1.1.1.284	2144.5	1046.62	1631.45	1294	6140.08	1626.17	3716.25	7675.79	1517.67	2370.83	1274	4124	4482	16468.55	23289.55	13038.42	2663.42	2395.79	5376.79	2121	1929	2450.17	1356.75	1508.05	968
EC:1.1.1.287	85	83	74	62	213	53	54	85	58	53	36	44	2036	244	218	528	91	154	545	52	69	53	41	105	128
EC:1.1.1.289	85	83	74	62	140	53	54	69	58	53	36	44	1884	244	218	528	69	142	515	52	69	53	41	105	128
EC:1.1.1.29	29343.74	31435.15	25753.38	36608.53	45486.85	8928.52	21349.54	39965.75	50869.53	27356.87	13847.37	25461.95	67181.73	25357.18	27375.42	29415.02	33279.48	33933.84	74109.78	19237.73	94409.16	19744.41	17607.23	51036.69	21019.5
EC:1.1.1.290	19020.9	23577.64	12172.99	10880.73	25192.53	6644.39	20995.75	34657.69	7192.72	27113.17	18113.07	25668.65	36318.75	26141.3	37831.14	27062.15	22219.08	20229.45	29246.77	32656.31	25576.36	37153.1	30112.01	14629.86	15318.07
EC:1.1.1.291	176	128	125	129	347	89	63	82	144	68	84	52	156	446	552	762	192	181	477	110	79	59	43	133	153
EC:1.1.1.3	88433.76	92922.61	76689.12	85059.89	84436.72	25568.14	73619.63	91557.82	110787.67	73577.92	84179.11	53916.2	121632.17	75084.09	89668.13	77855.29	88668.16	82311.15	132214.47	103959.83	79504.77	69669.44	75713.65	113047.36	54862.95
EC:1.1.1.30	724.5	676.12	4837.95	144	4329.08	1852	1784.75	3020.08	353	489	4631	524	5839.5	3855.55	2204.38	1847.92	1162.42	1369.79	1675.29	1047	80	441.67	4249.25	903.55	1011.3
